State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Illustrator(s),Translator(s)
Texas,North East,Administrator,December 2021,Banned from Libraries,"Collins, B. R.",The Traitor Game,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Conley, Garrard","Boy Erased: A Memoir of Identity, Faith, and Family",,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Connor, Leslie",A Home for Goddesses and Dogs,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Cook, Trish",Notes from the Blender,"Halpin, Brendan",,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Córdova, Zoraida",Wayward Witch (Brooklyn Brujas Series),,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Cotugno, Katie",How to Love,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Coulthurst, Audrey",Of Fire and Stars (Of Fire and Stars Series),,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Coulthurst, Audrey",Of Ice and Shadows (Of Fire and Stars Series),,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Craft, Jerry",Class Act,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Craft, Jerry",New Kid,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Craig, Joe",A Guy's Guide to Sexuality and Sexual Identity in the 21st Century,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Cronn-Mills, Kirstin",Beautiful Music for Ugly Children,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Cronn-Mills, Kirstin",Striving for Equality: LGBTQ Athletes Claim the Field,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Crutcher, Chris",Staying Fat for Sarah Byrnes,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Curato, Mike",Flamer,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Currie-McGhee, Leanna",LGBT Families (Changing Families),,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Danforth, Emily M.",The Miseducation of Cameron Post,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Daniels, April",Dreadnought (Nemesis Series),,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Davis, Tanita S.",Happy families,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Dawson, Juno",This Book Is Gay,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Dawson, Juno",Understanding Gender,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"De Medeiros, James",The Migration North,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"De Robertis, Carolina",The Gods of Tango,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Dee, Barbara",Star-Crossed,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"des Neiges Léonard, Marie",Gender Equality (Foundations of Democracy),"Cucini, Sara",,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Devine, Eric",Look Past,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Dietrich, Cale",The Love Interest,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Doeden, Matt","More Than a Game: Race, Gender, and Politics in Sports",,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Dugan, Jennifer",Hot Dog Girl,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Dunbar, Helene",We Are Lost and Found,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Duyvis, Corinne",The Art of Saving the World,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Efaw, Amy",After,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Ellis, Grace",Magic To Brew (Moonstruck Series),,"Beagle, Shae",
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Emezi, Akwaeke",Pet,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Eugenides, Jeffrey",Middlesex,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Evans, Shane W.",We March,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Evison, Jonathan",Lawn Boy,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Fantauzzo, Laurel Flores",My Heart Underwater,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Farizan, Sara",If You Could Be Mine,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Farizan, Sara",Tell Me Again How a Crush Should Feel,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Farrell, Courtney",The Abortion Debate (Essential Viewpoints),,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Farrey, Brian",With Or Without You,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Faux, Marian",Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Federle, Tim",Nate Expectations,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Federle, Tim",The Great American Whatever,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Finneyfrock, Karen",The Sweet Revenge of Celia Door,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Firmston, Kim",Hook Up,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Floreen, Tim",Tattoo Atlas,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Floreen, Tim",Willful Machines,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Ford, Michael Thomas",Suicide Notes,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Franklin, Emily",Tessa Masterson Will Go to Prom,"Halpin, Brendan",,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Frick, Kit",All Eyes on Us,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Gailey, Sarah",When We Were Magic,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Gale, Heather",Ho'onani: Hula Warrior,,"Song, Mika",
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Garber, Romina",Lobizona: A Novel (Wolves of No World Series),,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Garden, Nancy",Annie on My Mind,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Garden, Nancy","Hear Us Out!: Lesbian and Gay Stories of Struggle, Progress, and Hope, 1950 to the Present",,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Garden, Nancy",The Year They Burned the Books,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Garsee, Jeannine",Say the Word,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Garvin, Jeff",Symptoms of Being Human,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Geerling, Marjetta",Fancy White Trash,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"Gennari, Jennifer",My Mixed-Up Berry Blue Summer,,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"George, Elizabeth",The Edge of the Water (Whidbey Island Saga Series),,,
Texas,North East,Administrator,December 2021,Banned from Libraries,"George, Madeleine",The Difference Between You and Me,,,
Texas,North East,Administrator,December 2021,Banned Pending Investigation,"Gephart, Donna",Lily and Dunkin,,,
