OBJECTID,Survey,Location,Date_,Source,US_Acres,Origin,Class,SubClass,Group_,CoOccuElem,Notes,SubGroup,CMECS_Code,Label,Shape_Length,Shape_Area
7024,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,1.396713,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,483.36141995834,9397.57119779769
7025,Acoustic,"Upper Chester River, MD",2012 April,NOAA-CBO,6.041578,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,906.336173299577,40656.5198629627
7026,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,1.547544,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,691.806449185568,10414.8636371764
7027,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,2.606442,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,552.342881150213,17543.3965722486
7028,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,0.091988,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,95.3341300514084,619.162945022852
7029,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,3.873807,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,Mud, , ,S2.5.2.3,Natural Oyster Rubble,682.599910240783,26073.4982996979
7030,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,0.133841,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,109.704243966381,900.730432247741
7031,Acoustic,"Chester River, MD",2003-2007,NOAA-CBO,7.089744,Anthropogenic,Anthropogenic_Shell,Anthropogenic_Shell_Rubble,Anthropogenic_Oyster_Rubble,<Null>, , ,S3.6.2.1,Man-Made Oyster Rubble,1119.62556243281,47718.4616212564
7032,Acoustic,"Upper Chester River, MD",2012 April,NOAA-CBO,9.635435,Geologic,Unconsolidated_Mineral,Fine_Unconsolidated,Mud,No_Shell, , ,S1.2.2.5,Mud,1090.06404925853,64835.1272829399
7033,Acoustic,"Upper Chester River, MD",2012 April,NOAA-CBO,1.751854,Biogenic,Biogenic_Shell,Biogenic_Shell_Rubble,Biogenic_Oyster_Rubble,<Null>, , ,S2.5.2.3,Natural Oyster Rubble,561.666689747803,11786.0534469247
